institution_id,reference_profile,centroid_prediction,distance_profile_1,distance_profile_2,target_profile,target_margin
INST_046,1,1,2.180799999397601,6.947299875278562,2,-4.76649987588096
INST_047,1,1,1.5584020234362115,4.859278667026523,2,-3.3008766435903114
INST_048,1,1,2.9390139939015247,7.381572817206669,2,-4.442558823305144
INST_049,1,1,2.055560988368521,6.620588239277812,2,-4.565027250909291
INST_050,1,1,2.800519079546236,6.517733255971409,2,-3.7172141764251734
INST_051,2,2,7.089501465124475,2.049252548482544,1,-5.040248916641931
INST_052,1,1,4.479223943299636,6.67134009732388,2,-2.1921161540242444
INST_053,1,1,1.0488383083936492,5.7129403158282175,2,-4.664102007434568
INST_054,2,2,5.1708244851441405,1.6153216800523262,1,-3.5555028050918143
INST_055,1,1,2.8281075871793506,7.61140246501388,2,-4.783294877834529
INST_056,1,1,2.7941607059431584,6.088479188187447,2,-3.294318482244289
INST_057,1,1,1.849913314339559,6.549802525873512,2,-4.699889211533954
INST_058,1,1,2.471594886474685,6.775772953099569,2,-4.304178066624884
INST_059,1,1,2.59861105979396,6.697145004134423,2,-4.098533944340463
INST_060,1,1,3.2915845886998647,7.738650038311534,2,-4.447065449611669
INST_061,1,1,2.532311172701222,5.851926425659771,2,-3.319615252958549
INST_062,1,1,2.837897267422206,6.448498787256485,2,-3.6106015198342787
INST_063,1,1,3.7959275677772895,6.502286308113463,2,-2.706358740336174
INST_064,1,1,3.212989825958532,3.6758774651657173,2,-0.46288763920718523
INST_065,2,2,5.008003995236303,1.5082552316736322,1,-3.4997487635626703
INST_066,1,1,3.212989825958532,3.6758774651657173,2,-0.46288763920718523
INST_067,1,1,1.604490725195057,4.687847951927887,2,-3.08335722673283
INST_068,1,1,2.0397996843553736,6.095949605348493,2,-4.0561499209931196
INST_069,1,1,2.602095010770102,7.235219340675229,2,-4.633124329905128
INST_070,1,1,1.9821923044255219,6.231469731498754,2,-4.249277427073232
INST_071,2,2,4.442976894552656,1.7550103806784625,1,-2.6879665138741933
INST_072,1,1,3.2816480289065337,8.228795946927134,2,-4.9471479180206
INST_073,1,1,3.2108340896971206,4.414518917171311,2,-1.20368482747419
INST_074,2,2,6.621101380162959,1.4048851891083423,1,-5.216216191054617
INST_075,1,1,3.198913935331165,8.205428110659911,2,-5.006514175328746
INST_076,1,1,3.1087818695476743,7.096587874698569,2,-3.987806005150895
INST_077,1,1,2.87217946923928,4.709691186123908,2,-1.8375117168846278
INST_078,1,1,2.159295059068127,5.549191467684832,2,-3.3898964086167047
INST_079,1,1,2.8319425202286346,7.944094399388634,2,-5.112151879159999
INST_080,1,1,2.2578575516864805,5.147954883110216,2,-2.890097331423736
INST_081,1,1,2.039799684355374,6.095949605348491,2,-4.056149920993118
