candidate_id,iteration,reference_cluster,matched_resample_cluster,jaccard
R0_STANDARDIZED__GMM_DIAG__K2,134,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,135,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,135,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,136,0,1,0.6842105263157895
R0_STANDARDIZED__GMM_DIAG__K2,136,1,0,0.3076923076923077
R0_STANDARDIZED__GMM_DIAG__K2,137,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,137,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,138,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,138,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,139,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,139,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,140,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,140,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,141,0,1,0.7142857142857143
R0_STANDARDIZED__GMM_DIAG__K2,141,1,0,0.36
R0_STANDARDIZED__GMM_DIAG__K2,142,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,142,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,143,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,143,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,144,0,0,0.9636363636363636
R0_STANDARDIZED__GMM_DIAG__K2,144,1,1,0.8333333333333334
R0_STANDARDIZED__GMM_DIAG__K2,145,0,1,0.7090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,145,1,0,0.38461538461538464
R0_STANDARDIZED__GMM_DIAG__K2,146,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,146,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,147,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,147,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,148,0,1,0.5636363636363636
R0_STANDARDIZED__GMM_DIAG__K2,148,1,0,0.29411764705882354
R0_STANDARDIZED__GMM_DIAG__K2,149,0,0,0.7368421052631579
R0_STANDARDIZED__GMM_DIAG__K2,149,1,1,0.34782608695652173
R0_STANDARDIZED__GMM_DIAG__K2,150,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,150,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,151,0,1,0.6851851851851852
R0_STANDARDIZED__GMM_DIAG__K2,151,1,0,0.39285714285714285
R0_STANDARDIZED__GMM_DIAG__K2,152,0,1,0.6964285714285714
R0_STANDARDIZED__GMM_DIAG__K2,152,1,0,0.34615384615384615
R0_STANDARDIZED__GMM_DIAG__K2,153,0,0,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,153,1,1,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,154,0,1,0.5636363636363636
R0_STANDARDIZED__GMM_DIAG__K2,154,1,0,0.29411764705882354
R0_STANDARDIZED__GMM_DIAG__K2,155,0,0,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,155,1,1,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,156,0,0,0.5636363636363636
R0_STANDARDIZED__GMM_DIAG__K2,156,1,1,0.29411764705882354
R0_STANDARDIZED__GMM_DIAG__K2,157,0,0,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,157,1,1,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,158,0,0,0.9811320754716981
R0_STANDARDIZED__GMM_DIAG__K2,158,1,1,0.9230769230769231
R0_STANDARDIZED__GMM_DIAG__K2,159,0,1,0.6481481481481481
R0_STANDARDIZED__GMM_DIAG__K2,159,1,0,0.36666666666666664
R0_STANDARDIZED__GMM_DIAG__K2,160,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,160,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,161,0,0,0.6851851851851852
R0_STANDARDIZED__GMM_DIAG__K2,161,1,1,0.39285714285714285
R0_STANDARDIZED__GMM_DIAG__K2,162,0,0,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,162,1,1,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,163,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,163,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,164,0,0,0.42105263157894735
R0_STANDARDIZED__GMM_DIAG__K2,164,1,1,0.1951219512195122
R0_STANDARDIZED__GMM_DIAG__K2,165,0,1,0.9824561403508771
R0_STANDARDIZED__GMM_DIAG__K2,165,1,0,0.8888888888888888
R0_STANDARDIZED__GMM_DIAG__K2,166,0,1,0.9615384615384616
R0_STANDARDIZED__GMM_DIAG__K2,166,1,0,0.8666666666666667
R0_STANDARDIZED__GMM_DIAG__K2,167,0,1,0.7037037037037037
R0_STANDARDIZED__GMM_DIAG__K2,167,1,0,0.4074074074074074
R0_STANDARDIZED__GMM_DIAG__K2,168,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,168,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,169,0,1,0.38181818181818183
R0_STANDARDIZED__GMM_DIAG__K2,169,1,0,0.22727272727272727
R0_STANDARDIZED__GMM_DIAG__K2,170,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,170,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,171,0,1,0.6851851851851852
