institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety
INST_025,Nuevo León,Asociación civil / ONG,11-30,1-5,1-2,Inestable,WhatsApp;Otra,Papel,3-5 horas,Medio,Rara vez,No,Difícil,Alto,Muy alto,Alto,Alto,Difícil,Algo,Poco dispuestos,Tal vez,1,3,1,3,3,3,2,0,4.0,4.0,4,4,5,5,4,4,4,4,4,4,3,2,0.5,0,1,0,0,1,0,2
INST_026,Tamaulipas,Pública,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Muy alto,Poco,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,3,4,4,4,4,1,3.0,3.0,5,5,5,5,2,2,1,1,3,3,4,4,0.5,1,1,1,0,0,0,3
INST_027,Sonora,Pública,11-30,6-15,0,No hay acceso,Ninguna,Papel,3-5 horas,Medio,Nunca,No,Moderado,Alto,Medio,Poco,Muy alto,Fácil,Mucho,Dispuestos,Sí,0,1,1,3,3,3,1,0,3.0,3.0,4,4,3,3,2,2,5,5,2,2,4,4,1.0,0,0,0,0,0,1,0
INST_028,Michoacán,Asociación civil / ONG,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Medio,Muy alto,Poco,Neutral,Mucho,Dispuestos,Tal vez,3,5,3,4,4,4,4,1,3.0,3.0,5,5,3,3,5,5,2,2,3,3,4,4,0.5,1,1,1,0,0,0,3
INST_029,Jalisco,Asociación civil / ONG,31-60,6-15,1-2,Inestable,WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Semanal,Sí,Difícil,Alto,Medio,Alto,Medio,Difícil,Mucho,Dispuestos,Tal vez,1,3,3,4,4,2,3,1,4.0,4.0,4,4,3,3,4,4,3,3,4,4,4,4,0.5,0,1,1,0,0,0,2
INST_030,Baja California,Mixta,31-60,6-15,1-2,Estable,WhatsApp;Google Drive / Docs,Papel,3-5 horas,Muy bajo,Semanal,Sí,Muy difícil,Alto,Medio,Muy alto,Alto,Muy difícil,Mucho,Poco dispuestos,No,1,4,1,3,3,1,3,1,5.0,5.0,4,4,3,3,5,5,4,4,5,5,4,2,0.0,0,1,1,0,0,0,2
INST_031,Hidalgo,Pública,31-60,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Fácil,Poco,Poco,Medio,Nada,Fácil,Mucho,Muy dispuestos,Sí,3,5,4,1,1,5,4,1,2.0,2.0,2,2,2,2,3,3,1,1,2,2,4,5,1.0,1,1,1,1,0,0,4
INST_032,Estado de México,Asociación civil / ONG,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,3-5 horas,Muy bajo,Semanal,Sí,Difícil,Medio,Medio,Medio,Poco,Difícil,Mucho,Neutrales,Tal vez,2,4,3,3,3,1,3,1,4.0,4.0,3,3,3,3,3,3,2,2,4,4,4,3,0.5,1,1,1,0,0,0,3
INST_033,Ciudad de México,Privada,31-60,30+,6+,Inestable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Excel,5+ horas,Alto,Semanal,Sí,Moderado,Medio,Poco,Poco,Muy alto,Neutral,Mucho,Dispuestos,Sí,3,3,2,4,4,4,3,1,3.0,3.0,3,3,2,2,2,2,5,5,3,3,4,4,1.0,1,1,1,1,0,0,4
INST_034,Veracruz,Pública,11-30,6-15,1-2,Inestable,WhatsApp,Papel,1-3 horas,Muy alto,Rara vez,No,Fácil,Poco,Medio,Medio,Muy alto,Fácil,Mucho,Muy dispuestos,Sí,1,3,1,2,2,5,2,0,2.0,2.0,2,2,3,3,3,3,5,5,2,2,4,5,1.0,0,1,0,0,0,0,1
INST_035,Yucatán,Pública,11-30,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Alto,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,3,5,4,3,3,1,4,1,5.0,5.0,3,3,4,4,5,5,2,2,5,5,4,1,0.0,1,1,1,1,0,0,4
INST_036,Nuevo León,Mixta,11-30,6-15,0,Muy inestable,WhatsApp,Papel,1-3 horas,Alto,Semanal,No,Moderado,Poco,Medio,Nada,Muy alto,Fácil,Mucho,Muy dispuestos,Sí,0,2,1,2,2,4,3,0,3.0,3.0,2,2,3,3,1,1,5,5,2,2,4,5,1.0,0,1,0,0,0,0,1
INST_037,Guerrero,Pública,31-60,6-15,0,No hay acceso,Ninguna,Papel,3-5 horas,Alto,Nunca,No,Moderado,Medio,Poco,Poco,Muy alto,Fácil,Mucho,Muy dispuestos,Sí,0,1,1,3,3,4,1,0,3.0,3.0,3,3,2,2,2,2,5,5,2,2,4,5,1.0,0,0,0,0,0,1,0
