institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,system_change_resistance_constraint,digital_usage_constraint_score,implementation_difficulty_constraint,previous_implementation_constraint,time_constraint_score,staffing_constraint_score,training_deficit_score,resource_constraint_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,AFS_equal_weights,AFS_organizational_heavy,AFS_human_heavy,AFS_infrastructure_heavy
INST_021,Morelos,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Mixto,5+ horas,Medio,Diario,Sí,Moderado,Alto,Alto,Alto,Muy alto,Neutral,Mucho,Dispuestos,Sí,3,5,3,4,4,3,4,1,3.0,3.0,4,4,4,4,4,4,5,5,3,3,4,4,1.0,1,1,1,1,0,0,4,0.0,0.0,0.2,0.3333333333333333,1.0,0.5,0.5,0.0,0.5,0,0.75,0.75,0.75,1.0,0.25,0.0,0.0,0.0666666666666666,0.5833333333333333,0.1666666666666666,0.5,0.3291666666666666,0.3499999999999999,0.3291666666666666,0.37583333333333324,0.36749999999999994,0.3025
INST_022,Campeche,Asociación civil / ONG,11-30,1-5,1-2,Inestable,WhatsApp,Papel,1-3 horas,Muy alto,Rara vez,No,Fácil,Poco,Poco,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,1,3,1,2,2,5,2,0,2.0,2.0,2,2,2,2,3,3,5,5,1,1,4,5,1.0,0,1,0,0,0,0,1,0.6666666666666666,0.5,0.8,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.25,1,0.25,0.25,0.5,1.0,0.0,0.0,0.0,0.6555555555555556,0.3333333333333333,0.6388888888888888,0.2857142857142857,0.4783730158730158,0.4630952380952381,0.47837301587301584,0.44698412698412693,0.4422222222222222,0.4976984126984127
INST_023,Ciudad de México,Pública,1-10,1-5,1-2,Estable,WhatsApp,Papel,3-5 horas,Medio,Semanal,No,Difícil,Medio,Medio,Medio,Medio,Neutral,Mucho,Dispuestos,Tal vez,1,4,1,3,3,3,3,0,4.0,4.0,3,3,3,3,3,3,3,3,3,3,4,4,0.5,0,1,0,0,0,0,1,0.6666666666666666,0.25,0.8,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.75,1,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5722222222222223,0.6666666666666666,0.6944444444444443,0.3928571428571428,0.581547619047619,0.5801587301587301,0.581547619047619,0.5848809523809523,0.5574999999999999,0.5844047619047619
INST_024,Baja California,Mixta,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Alto,Medio,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,2,4,3,3,3,1,4,1,5.0,5.0,4,4,3,3,5,5,2,2,5,5,4,1,0.0,1,1,1,0,0,0,3,0.3333333333333333,0.25,0.4,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,1.0,0,0.75,0.5,1.0,0.25,1.0,0.0,1.0,0.3277777777777778,0.75,0.3333333333333333,0.6428571428571429,0.5134920634920634,0.5343253968253968,0.5134920634920634,0.5554365079365079,0.5447222222222222,0.4974603174603175
INST_025,Nuevo León,Asociación civil / ONG,11-30,1-5,1-2,Inestable,WhatsApp;Otra,Papel,3-5 horas,Medio,Rara vez,No,Difícil,Alto,Muy alto,Alto,Alto,Difícil,Algo,Poco dispuestos,Tal vez,1,3,1,3,3,3,2,0,4.0,4.0,4,4,5,5,4,4,4,4,4,4,3,2,0.5,0,1,0,0,1,0,2,0.6666666666666666,0.5,0.6,1.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.75,1,0.75,1.0,0.75,0.75,0.75,0.3333333333333333,0.5,0.5888888888888889,0.7291666666666666,0.8055555555555555,0.6904761904761905,0.7035218253968254,0.699702380952381,0.7035218253968254,0.7067162698412699,0.7028472222222222,0.6876091269841269
INST_026,Tamaulipas,Pública,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Muy alto,Poco,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,3,4,4,4,4,1,3.0,3.0,5,5,5,5,2,2,1,1,3,3,4,4,0.5,1,1,1,0,0,0,3,0.0,0.0,0.4,0.3333333333333333,1.0,0.25,0.5,0.0,0.5,0,1.0,1.0,0.25,0.0,0.25,0.0,0.5,0.1333333333333333,0.5208333333333333,0.1666666666666666,0.4285714285714285,0.3123511904761904,0.33005952380952375,0.3123511904761904,0.3494345238095238,0.3402083333333333,0.295922619047619
INST_027,Sonora,Pública,11-30,6-15,0,No hay acceso,Ninguna,Papel,3-5 horas,Medio,Nunca,No,Moderado,Alto,Medio,Poco,Muy alto,Fácil,Mucho,Dispuestos,Sí,0,1,1,3,3,3,1,0,3.0,3.0,4,4,3,3,2,2,5,5,2,2,4,4,1.0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.25,1.0,0.5,1,0.75,0.5,0.25,1.0,0.25,0.0,0.0,1.0,0.6041666666666666,0.8333333333333334,0.3928571428571428,0.7075892857142857,0.6961309523809524,0.7075892857142857,0.6763392857142857,0.6552083333333334,0.7462797619047619
INST_028,Michoacán,Asociación civil / ONG,31-60,16-30,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Medio,Muy alto,Poco,Neutral,Mucho,Dispuestos,Tal vez,3,5,3,4,4,4,4,1,3.0,3.0,5,5,3,3,5,5,2,2,3,3,4,4,0.5,1,1,1,0,0,0,3,0.0,0.0,0.4,0.3333333333333333,1.0,0.25,0.5,0.0,0.5,0,1.0,0.5,1.0,0.25,0.25,0.0,0.5,0.1333333333333333,0.5208333333333333,0.1666666666666666,0.5,0.3302083333333333,0.34791666666666665,0.3302083333333333,0.3672916666666666,0.3652083333333333,0.3102083333333333
INST_029,Jalisco,Asociación civil / ONG,31-60,6-15,1-2,Inestable,WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Semanal,Sí,Difícil,Alto,Medio,Alto,Medio,Difícil,Mucho,Dispuestos,Tal vez,1,3,3,4,4,2,3,1,4.0,4.0,4,4,3,3,4,4,3,3,4,4,4,4,0.5,0,1,1,0,0,0,2,0.6666666666666666,0.5,0.6,0.3333333333333333,1.0,0.75,0.75,0.3333333333333333,0.75,0,0.75,0.5,0.75,0.5,0.25,0.0,0.5,0.5888888888888889,0.7083333333333333,0.3611111111111111,0.4642857142857143,0.5306547619047619,0.548015873015873,0.5306547619047619,0.5539880952380952,0.5295833333333334,0.5482738095238096
INST_030,Baja California,Mixta,31-60,6-15,1-2,Estable,WhatsApp;Google Drive / Docs,Papel,3-5 horas,Muy bajo,Semanal,Sí,Muy difícil,Alto,Medio,Muy alto,Alto,Muy difícil,Mucho,Poco dispuestos,No,1,4,1,3,3,1,3,1,5.0,5.0,4,4,3,3,5,5,4,4,5,5,4,2,0.0,0,1,1,0,0,0,2,0.6666666666666666,0.25,0.6,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0,0.75,0.5,1.0,0.75,0.75,0.0,1.0,0.5055555555555555,0.9166666666666666,0.4444444444444444,0.6785714285714286,0.6363095238095238,0.6599206349206349,0.6363095238095238,0.6804761904761905,0.6566666666666667,0.6307142857142858
