state,institution_type,children_served,staff_size,available_devices,internet_constraint,current_digital_tools,information_recording_method,admin_time_load_norm,admin_disorganization,digital_usage_constraint,previous_digital_implementation,implementation_difficulty_norm,time_constraint_norm,staffing_constraint_norm,training_deficit_norm,resource_constraint_norm,system_change_resistance_norm,perceived_digital_utility_norm,willingness_constraint,pilot_openness,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,implementation_difficulty_constraint,system_change_resistance_constraint,time_constraint_score,staffing_constraint_score,resource_constraint_score,digital_usage_constraint_score,training_deficit_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,previous_implementation_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,friction_category,dominant_constraint
Ciudad de México,Pública,1-10,1-5,1,4,WhatsApp,1,3,3,2,0,4,3,3,3,2,3,4,4,0.5,0,1,0,0,0,1,0.6666666666666666,0.25,0.75,1.0,0.6666666666666666,0.5,0.75,0.5,0.5,0.5,0.25,0.6666666666666666,0.5,0.25,0.0,0.5,1.0,0.6666666666666666,0.5833333333333334,0.47916666666666663,0.4861111111111111,0.5538194444444444,0.5590277777777778,High friction,Infrastructure
Baja California,Mixta,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,1,4,1,5,3,3,3,1,5,4,1,0.0,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.375,1.0,0.41666666666666663,0.4166666666666667,0.5520833333333333,0.5812499999999999,High friction,Organizational
Nuevo León,Asociación civil / ONG,11-30,1-5,1,2,WhatsApp;Otra,1,3,3,1,0,4,3,3,3,3,4,3,2,0.5,0,1,0,0,0,1,0.6666666666666666,0.75,0.75,1.0,0.6666666666666666,0.5,0.75,0.75,0.5,0.5,0.5,1.0,0.5,0.75,0.3333333333333333,0.5,1.0,0.7916666666666666,0.6666666666666666,0.5416666666666666,0.6805555555555557,0.670138888888889,0.6763888888888889,High friction,Infrastructure
Tamaulipas,Pública,31-60,16-30,3,5,Excel;WhatsApp;Google Drive / Docs,2,4,4,4,1,3,3,3,3,3,3,4,4,0.5,1,1,1,0,0,3,0.0,0.0,0.25,0.6666666666666666,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.22916666666666666,0.4166666666666667,0.625,0.20833333333333334,0.3697916666666667,0.35937499999999994,Moderate friction,Operational
Sonora,Pública,11-30,6-15,0,3,Ninguna,1,3,3,1,0,3,3,3,3,4,2,4,4,1.0,0,0,0,0,1,0,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,0.5,0.25,0.5,0.5,0.75,1.0,0.5,0.25,0.0,0.0,1.0,0.875,0.4166666666666667,0.6041666666666666,0.4583333333333333,0.5885416666666667,0.5791666666666667,High friction,Infrastructure
Michoacán,Asociación civil / ONG,31-60,16-30,3,5,Excel;WhatsApp;Google Drive / Docs,2,4,4,4,1,3,3,3,3,1,3,4,4,0.5,1,1,1,0,0,3,0.0,0.0,0.25,0.6666666666666666,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.22916666666666666,0.4166666666666667,0.5,0.20833333333333334,0.3385416666666667,0.334375,Moderate friction,Operational
Jalisco,Asociación civil / ONG,31-60,6-15,1,2,WhatsApp;Google Drive / Docs,2,4,2,2,1,4,3,3,3,2,4,4,4,0.5,0,1,1,0,0,2,0.6666666666666666,0.75,0.5,0.6666666666666666,1.0,0.75,0.75,0.75,0.5,0.5,0.25,0.6666666666666666,0.5,0.25,0.0,0.5,0.0,0.6458333333333333,0.75,0.5625,0.3194444444444444,0.5694444444444444,0.5788194444444443,High friction,Organizational
Baja California,Mixta,31-60,6-15,1,4,WhatsApp;Google Drive / Docs,1,3,1,2,1,5,3,3,3,3,5,4,2,0.0,0,1,1,0,0,2,0.6666666666666666,0.25,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.75,0.0,1.0,0.0,0.6041666666666666,1.0,0.5416666666666666,0.4861111111111111,0.657986111111111,0.6809027777777777,High friction,Organizational
Hidalgo,Pública,31-60,6-15,3,5,Excel;WhatsApp;Google Drive / Docs;Software especializado,4,1,5,4,1,2,3,3,3,3,2,4,5,1.0,1,1,1,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.375,0.08333333333333333,0.15625,0.14583333333333334,Low friction,Operational
Estado de México,Asociación civil / ONG,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,3,1,2,1,4,3,3,3,1,4,4,3,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.0,0.5,0.0,0.375,0.8333333333333334,0.41666666666666663,0.3611111111111111,0.4965277777777778,0.517361111111111,High friction,Organizational
