candidate_id,representation,algorithm,k_requested,cluster,size
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,2,18
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,3,7
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,4,13
R1_PCA_85__KMEANS__K6,R1_PCA_85,KMEANS,6,5,14
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,0,13
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,1,9
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,2,20
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,3,11
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,4,13
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,5,15
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,0,32
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,1,18
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,2,6
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,3,12
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,4,6
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,5,7
