institution_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
INST_011,-3.179216584846756,0.20244672576799033,1.5698484712604968,-0.2509027787377986,0.148305736894103,0.20859780830770422,-0.36635939741338164,-0.13297106659872351,0.29400769548018857,-0.14714223191355788,-0.026511680996370916,0.2649076196459279,0.04405439903158732
INST_012,-2.077942329227128,1.2334022001261036,2.206412460132549,-0.28509479392817816,0.4157109490672369,-0.2636199306562132,0.41683117811254783,1.2587426841922478,-0.15009589298637455,-0.13302776689561338,-0.006560191965682486,-0.07987790083203088,-0.12712913121627656
INST_013,-0.08611659124868194,0.3089714903301549,-2.552497699955561,-0.38058134267190297,-0.08015546815176218,-0.023611991783683846,0.29689249751324487,0.2165196764602549,-0.4765572838178222,-0.22917331714139258,-0.40775135887348196,0.14499548517892788,0.3816691310837508
INST_014,-2.5357272643447577,0.018566256158339053,-1.8543776699687562,-0.0430770201919547,0.6869933833796087,-0.5220164902067116,-0.4573087102276968,-0.370794525751746,-0.029711193681828563,-0.06933341130822174,-0.3232513970958949,-0.22202490268836286,0.04488710768588446
INST_015,-0.7423848044872825,-3.815182390066078,0.7336871555166774,0.2638995844290512,0.11239516004794292,0.39819689813963977,1.2405634970711572,-0.07847378189809497,-0.0002409089924226729,-0.09862141939853944,-0.6179662585422845,0.33999538358286646,-0.202616788079584
INST_016,-2.673204630051783,0.3736493479781133,-2.205783554561275,0.5170431436840958,0.8653456436806818,-0.18428772992253448,-0.311591736904079,-0.3960632550809054,-0.16102705578035445,-0.3345716323376439,-0.12307532822982604,-0.13026162260180396,-0.15415043999616462
INST_017,-2.6575892837680706,-1.493360611332283,2.2540124428735924,-0.05086115657148552,-0.4092772144095469,-0.14122180365951106,0.5870118422212506,-0.23098448134616573,0.10361302673397392,0.20634764047524715,0.1748955025520606,0.16718032382829037,0.09335807974599991
INST_018,-0.15514499262567058,-4.4029590030822305,-0.18480423087371178,0.2880977058558415,0.5437399888158193,0.23460452028746745,0.47790480621789916,-0.29843182766777504,0.10901044816266921,-0.025330437446740666,0.20023440088787267,0.1216915356514865,0.16388964402729003
INST_019,1.3381373512680281,0.039122761083413816,0.02224433484405582,-1.2845949741950056,1.3637393520998882,-0.04939514517826165,-1.1078240524422114,0.5952144948932657,0.5346281175693302,0.18506316888534072,-0.6185394629487736,0.23187395099758812,-0.08951683659094252
INST_020,-0.39929846387757173,-1.1964150768550006,1.8777483887985484,0.7101985025981395,-0.11687493460792506,-1.2538952064528899,-0.35671036326360495,1.0645651971060124,-0.503617414142228,0.21139880562898503,0.5517592444373006,-0.294586729552417,-0.052024740379326855
INST_021,-1.2546733054875319,0.5028746711976495,-1.3090607630164401,-0.012156483329488875,-0.9557092373653683,1.0666045203163839,-0.8656932648400117,0.7791786687913602,1.034457085479792,-0.5285886661223579,-0.10500079641656922,0.195773582642931,0.2489631087983003
INST_022,4.358407112016771,-0.6988541012353721,0.25790644516262007,0.3428632992964009,-0.5565113729553459,-0.06671356419816254,-0.02895944354614779,0.48103205685842065,0.4952353836463415,0.06065193143401486,-0.4738072471480771,0.06176101419743568,-0.01518532206032389
INST_023,1.8462818853771537,0.7241356598694619,0.2403718269578773,0.14018448094218644,0.5069141053572507,-0.9284326411864914,0.041725619273871556,1.0908274107904157,-0.2731795134058656,0.0121991450403952,0.39077774260407067,0.09484120335818963,-0.010071202602096601
INST_024,-2.234790567446179,1.508469047315873,1.8692059320775043,-0.505448956867557,0.13772639137614529,-0.08815203711919375,0.2587348786433897,0.17912581545791004,-0.748541164062553,0.17334190179116502,-0.38107285949732916,-0.0021979627293267994,0.1628409452094036
INST_025,1.1586608454311282,2.9871079345539306,0.49347740389978617,0.9336477583857734,0.0813959872150933,0.552003475868953,1.294678745943782,0.1635825420239719,0.05479483954793715,-0.05174693834236185,0.24053994938242576,-0.189701325220218,-0.26088688436693946
INST_026,-1.5660585492389576,0.11951119204612834,-2.8378126748346286,0.477558278441143,0.4448939270067671,-0.4957579046165859,0.6850808285794275,0.2797104594094035,-0.38363989475954446,0.23008556030579533,0.5092817034042834,0.15036737678268491,-0.46912558045118313
