fold_index,threshold,direction,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_roc_auc,test_ari,test_nmi
36,0.4391025641025641,1,0.75,0.6785714285714286,0.4631578947368421,0.7142857142857142,-0.10869565217391304,0.1288617483267018
37,0.4391025641025641,1,0.7272727272727273,0.7692307692307692,0.6,0.9487179487179487,0.0171990171990172,0.21327035338138156
38,0.4570512820512821,1,0.7727272727272727,0.48717948717948717,0.36507936507936506,0.358974358974359,-0.030042918454935622,0.00041866022028678356
39,0.4371794871794872,1,0.7314814814814815,0.7142857142857143,0.4666666666666667,0.5,-0.06666666666666667,0.12331038678169001
40,0.4391025641025641,1,0.712962962962963,0.8214285714285714,0.6135265700483092,0.8214285714285714,0.10714285714285714,0.21660655152900693
41,0.4391025641025641,1,0.7314814814814815,0.75,0.5641025641025641,0.5476190476190477,-0.017964071856287425,0.18656389305089277
42,0.49487179487179483,1,0.740909090909091,0.46153846153846156,0.42857142857142855,0.8717948717948718,-0.0847457627118644,0.037551286854692785
43,0.4391025641025641,1,0.7545454545454545,0.6538461538461539,0.43529411764705883,0.7435897435897436,-0.12903225806451613,0.11642351775928049
44,0.4391025641025641,1,0.7685185185185186,0.6071428571428571,0.30980392156862746,0.75,-0.12704918032786885,0.06503817972217672
45,0.433974358974359,1,0.7314814814814815,0.6785714285714286,0.41700404858299595,0.8571428571428572,-0.09883720930232558,0.10181700816911868
46,0.4570512820512821,1,0.7592592592592593,0.5476190476190476,0.43956043956043955,0.5,-0.04704875962360992,0.004850862037790097
47,0.4391025641025641,1,0.7454545454545455,0.6923076923076923,0.4920634920634921,0.6410256410256411,-0.09871244635193133,0.14449170118335888
48,0.4371794871794872,1,0.7272727272727273,0.7307692307692308,0.5465587044534412,0.846153846153846,-0.05,0.17618002277154
49,0.49487179487179483,1,0.7424242424242424,0.2857142857142857,0.3333333333333333,0.5,-0.06666666666666667,0.12331038678169001
50,0.4391025641025641,1,0.712962962962963,0.8214285714285714,0.6135265700483092,0.7857142857142856,0.10714285714285714,0.21660655152900693
51,0.4551282051282051,1,0.75,0.5833333333333333,0.48484848484848486,0.5714285714285714,-0.03553299492385787,0.014278293708885902
52,0.4391025641025641,1,0.7363636363636363,0.7307692307692308,0.5465587044534412,0.7948717948717948,-0.05,0.17618002277154
53,0.4391025641025641,1,0.7272727272727273,0.7692307692307692,0.6,0.7948717948717949,0.0171990171990172,0.21327035338138156
54,0.4391025641025641,1,0.7314814814814815,0.75,0.5151515151515151,0.6428571428571428,-0.022727272727272728,0.14840708821535575
55,0.4391025641025641,1,0.7407407407407407,0.7142857142857143,0.4666666666666667,0.6428571428571429,-0.06666666666666667,0.12331038678169001
56,0.47756410256410253,1,0.7648148148148148,0.38095238095238093,0.356060606060606,0.5952380952380952,-0.00676818950930626,0.028849001159620954
57,0.4391025641025641,1,0.7363636363636363,0.7307692307692308,0.5465587044534412,0.7435897435897436,-0.05,0.17618002277154
58,0.4391025641025641,1,0.7454545454545455,0.6923076923076923,0.4920634920634921,0.7435897435897436,-0.09871244635193133,0.14449170118335888
59,0.4391025641025641,1,0.7222222222222222,0.7857142857142857,0.5636363636363637,0.7142857142857143,0.034334763948497854,0.17871023341808764
