institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_051,2,0.5,INST_070,1,0.5089743589743589,0.008974358974358942,8.05
INST_045,1,0.5525641025641026,INST_065,2,0.5615384615384615,0.008974358974358942,4.616666666666666
INST_035,1,0.4897435897435898,INST_051,2,0.5,0.01025641025641022,10.466666666666667
INST_053,1,0.4730769230769231,INST_071,2,0.46282051282051284,0.010256410256410275,4.866666666666667
INST_001,2,0.5192307692307693,INST_070,1,0.5089743589743589,0.010256410256410331,8.3
INST_036,2,0.4974358974358974,INST_067,1,0.5076923076923078,0.010256410256410387,5.033333333333334
INST_034,2,0.4974358974358974,INST_067,1,0.5076923076923078,0.010256410256410387,4.533333333333333
INST_019,1,0.4692307692307693,INST_022,2,0.4589743589743589,0.010256410256410387,4.033333333333333
INST_011,1,0.45128205128205134,INST_071,2,0.46282051282051284,0.011538461538461497,7.15
INST_071,2,0.46282051282051284,INST_079,1,0.45128205128205134,0.011538461538461497,7.15
INST_036,2,0.4974358974358974,INST_057,1,0.4858974358974359,0.011538461538461497,6.983333333333334
INST_001,2,0.5192307692307693,INST_067,1,0.5076923076923078,0.011538461538461497,6.983333333333333
INST_034,2,0.4974358974358974,INST_057,1,0.4858974358974359,0.011538461538461497,6.483333333333333
INST_032,1,0.4858974358974359,INST_036,2,0.4974358974358974,0.011538461538461497,5.816666666666666
INST_032,1,0.4858974358974359,INST_034,2,0.4974358974358974,0.011538461538461497,5.316666666666666
INST_065,2,0.5615384615384615,INST_080,1,0.55,0.011538461538461497,4.316666666666666
INST_007,1,0.55,INST_065,2,0.5615384615384615,0.011538461538461497,3.6500000000000004
INST_036,2,0.4974358974358974,INST_070,1,0.5089743589743589,0.011538461538461553,6.3500000000000005
INST_034,2,0.4974358974358974,INST_070,1,0.5089743589743589,0.011538461538461553,5.8500000000000005
INST_013,1,0.4282051282051282,INST_054,2,0.43974358974358974,0.011538461538461553,4.816666666666666
INST_035,1,0.4897435897435898,INST_041,2,0.47820512820512817,0.011538461538461608,9.016666666666667
INST_058,1,0.6141025641025641,INST_074,2,0.6025641025641025,0.011538461538461608,8.183333333333334
INST_002,1,0.5115384615384616,INST_051,2,0.5,0.011538461538461608,7.85
INST_011,1,0.45128205128205134,INST_054,2,0.43974358974358974,0.011538461538461608,7.85
INST_054,2,0.43974358974358974,INST_079,1,0.45128205128205134,0.011538461538461608,7.85
INST_004,1,0.6141025641025641,INST_074,2,0.6025641025641025,0.011538461538461608,7.183333333333334
INST_056,1,0.6141025641025641,INST_074,2,0.6025641025641025,0.011538461538461608,7.183333333333334
INST_039,2,0.5166666666666666,INST_043,1,0.5282051282051282,0.011538461538461608,7.016666666666667
INST_029,1,0.5910256410256409,INST_074,2,0.6025641025641025,0.011538461538461608,5.983333333333333
INST_022,2,0.4589743589743589,INST_075,1,0.47051282051282056,0.011538461538461664,8.516666666666666
INST_047,1,0.4269230769230769,INST_054,2,0.43974358974358974,0.01282051282051283,4.666666666666667
INST_010,1,0.47564102564102567,INST_071,2,0.46282051282051284,0.01282051282051283,4.5
INST_024,1,0.5756410256410256,INST_065,2,0.5615384615384615,0.014102564102564052,6.816666666666667
INST_021,1,0.4641025641025641,INST_041,2,0.47820512820512817,0.014102564102564052,6.5166666666666675
INST_051,2,0.5,INST_057,1,0.4858974358974359,0.014102564102564108,8.683333333333334
INST_032,1,0.4858974358974359,INST_051,2,0.5,0.014102564102564108,7.5166666666666675
INST_071,2,0.46282051282051284,INST_072,1,0.47692307692307695,0.014102564102564108,7.483333333333333
INST_041,2,0.47820512820512817,INST_061,1,0.4923076923076923,0.014102564102564108,6.15
INST_037,2,0.6282051282051283,INST_058,1,0.6141025641025641,0.014102564102564163,7.85
INST_068,1,0.5884615384615384,INST_074,2,0.6025641025641025,0.014102564102564163,7.5166666666666675
INST_074,2,0.6025641025641025,INST_081,1,0.5884615384615384,0.014102564102564163,7.5166666666666675
INST_004,1,0.6141025641025641,INST_037,2,0.6282051282051283,0.014102564102564163,6.85
INST_037,2,0.6282051282051283,INST_056,1,0.6141025641025641,0.014102564102564163,6.85
INST_025,1,0.7192307692307692,INST_027,2,0.7051282051282051,0.014102564102564163,3.8166666666666664
INST_002,1,0.5115384615384616,INST_034,2,0.4974358974358974,0.014102564102564219,6.15
INST_002,1,0.5115384615384616,INST_036,2,0.4974358974358974,0.014102564102564219,6.1499999999999995
INST_022,2,0.4589743589743589,INST_053,1,0.4730769230769231,0.014102564102564219,5.983333333333333
INST_054,2,0.43974358974358974,INST_064,1,0.42435897435897435,0.015384615384615385,3.2
INST_054,2,0.43974358974358974,INST_066,1,0.42435897435897435,0.015384615384615385,3.2
INST_001,2,0.5192307692307693,INST_023,1,0.5358974358974359,0.016666666666666607,5.116666666666667
INST_010,1,0.47564102564102567,INST_022,2,0.4589743589743589,0.016666666666666774,5.616666666666667
INST_001,2,0.5192307692307693,INST_049,1,0.5371794871794872,0.017948717948717885,9.100000000000001
INST_028,1,0.4217948717948718,INST_054,2,0.43974358974358974,0.01794871794871794,6.3999999999999995
INST_022,2,0.4589743589743589,INST_072,1,0.47692307692307695,0.01794871794871805,8.600000000000001
INST_023,1,0.5358974358974359,INST_039,2,0.5166666666666666,0.019230769230769273,2.4166666666666665
INST_036,2,0.4974358974358974,INST_072,1,0.47692307692307695,0.02051282051282044,9.1
INST_034,2,0.4974358974358974,INST_072,1,0.47692307692307695,0.02051282051282044,8.100000000000001
INST_059,1,0.582051282051282,INST_065,2,0.5615384615384615,0.02051282051282044,6.233333333333333
INST_054,2,0.43974358974358974,INST_055,1,0.41923076923076924,0.020512820512820495,7.433333333333333
