institution_id,reference_profile,target_profile,certainty_class,reference_profile_probability,family_consistency,expected_exact_candidates,evaluated_exact_candidates,transition_candidates,plausible_candidates,valid_plausible_candidates,selected_counterfactuals,global_best_cost,global_best_l0,depth1_valid,depth2_valid,depth3_valid,depth4_valid,failure_mode,elapsed_seconds
INST_050,1,2,CORE,0.966183574879227,0.9090909090909092,147291,147291,1019,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.352084651007317
INST_051,2,1,CORE,0.9948717948717948,0.9791666666666666,147291,147291,14,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,2.0485056420002365
INST_052,1,2,HALO,0.8190954773869347,0.6730769230769231,147291,147291,8464,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.436043891008012
INST_053,1,2,CORE,1.0,1.0,147291,147291,684,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3214525320072426
INST_054,2,1,CORE,1.0,1.0,147291,147291,10249,3202,288,5,4.9999905000235,4.0,0,0,3,285,SOLVABLE,2.261663712997688
INST_055,1,2,CORE,1.0,1.0,147291,147291,3,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3792069350020029
INST_056,1,2,CORE,1.0,1.0,147291,147291,332,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4126719449996017
INST_057,1,2,CORE,1.0,1.0,147291,147291,37,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4612406619999092
INST_058,1,2,CORE,1.0,1.0,147291,147291,9,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.5783473310002591
INST_059,1,2,CORE,1.0,1.0,147291,147291,2,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3559816970082466
INST_060,1,2,CORE,1.0,1.0,147291,147291,9,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4476072630059207
INST_061,1,2,CORE,1.0,1.0,147291,147291,830,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3633092170057353
INST_062,1,2,CORE,0.9846153846153848,0.951219512195122,147291,147291,1249,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4309988230088493
INST_063,1,2,CORE,0.905,0.8363636363636363,147291,147291,5099,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.337852294993354
INST_064,1,2,BOUNDARY,0.5900900900900901,0.3389830508474576,147291,147291,43711,1186,1186,5,2.3333298888954817,2.0,0,14,144,1028,SOLVABLE,1.4831872670038138
INST_065,2,1,CORE,1.0,1.0,147291,147291,11556,4477,465,5,4.999990250024375,4.0,0,0,4,461,SOLVABLE,2.074843220994808
INST_066,1,2,BOUNDARY,0.6349206349206349,0.4285714285714285,147291,147291,43711,1186,1186,5,2.3333298888954817,2.0,0,14,144,1028,SOLVABLE,1.461120801002835
INST_067,1,2,CORE,0.9951456310679612,0.9807692307692308,147291,147291,5068,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3848603309888858
INST_068,1,2,CORE,1.0,1.0,147291,147291,41,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4220394699950702
INST_069,1,2,CORE,1.0,1.0,147291,147291,40,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4418301330006216
INST_070,1,2,CORE,1.0,1.0,147291,147291,569,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3264097799983574
INST_071,2,1,CORE,1.0,1.0,147291,147291,30048,8133,2675,5,3.74999450001025,3.0,0,0,96,2579,SOLVABLE,2.5901404640026158
INST_072,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.4097739699936938
INST_073,1,2,HALO,0.7967032967032966,0.6938775510204082,147291,147291,25844,31,31,2,3.999992750018375,4.0,0,0,0,31,SOLVABLE,1.5507786420057528
INST_074,2,1,CORE,1.0,1.0,147291,147291,278,24,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,2.1055295200058026
INST_075,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.520234273004462
INST_076,1,2,CORE,1.0,1.0,147291,147291,173,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3911442989920033
INST_077,1,2,HALO,0.8622222222222222,0.7818181818181819,147291,147291,16625,91,91,5,3.74999350001525,3.0,0,0,4,87,SOLVABLE,1.5861644499964314
INST_078,1,2,CORE,1.0,1.0,147291,147291,2121,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3966584330046317
INST_079,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.4569831959961448
INST_080,1,2,CORE,1.0,1.0,147291,147291,4550,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.525528141995892
INST_081,1,2,CORE,1.0,1.0,147291,147291,41,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4038175710011274
