institution_id,reference_profile,n_oob_predictions,ensemble_dominant_profile,ensemble_dominant_probability,reference_profile_probability,profile_1_probability,profile_2_probability,normalized_entropy,membership_margin,within_reference_profile_consensus,cross_profile_leakage,consensus_gap,family_consistency,minimum_family_dominant_probability,family_disagreement_count,ensemble_agrees_with_reference,certainty_class
INST_025,1,193,1,0.7616580310880829,0.7616580310880829,0.7616580310880829,0.23834196891191708,0.7922721426071054,0.5233160621761659,0.7256752822378021,0.2631939242364073,0.4624813580013948,0.5789473684210527,0.5789473684210527,0,1,BOUNDARY
INST_026,1,198,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9340318889507453,0.0,0.9340318889507453,1.0,1.0,0,1,CORE
INST_027,2,201,2,0.9950248756218906,0.9950248756218906,0.004975124378109453,0.9950248756218906,0.04522463667671496,0.9900497512437811,1.0,0.07697670494131786,0.9230232950586821,0.9803921568627451,0.9803921568627451,0,1,CORE
INST_028,1,193,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9320973306283142,0.0,0.9320973306283142,1.0,1.0,0,1,CORE
INST_029,1,193,1,0.9792746113989638,0.9792746113989638,0.9792746113989638,0.02072538860103627,0.1454942487821595,0.9585492227979275,0.9170722813822509,0.04347346267726026,0.8735988187049907,0.9444444444444444,0.9444444444444444,0,1,CORE
INST_030,1,194,1,0.9639175257731959,0.9639175257731959,0.9639175257731959,0.03608247422680412,0.22403269552016228,0.9278350515463918,0.9122222285998897,0.05321354291942526,0.8590086856804644,0.8958333333333334,0.8958333333333334,0,1,CORE
INST_031,1,203,1,0.9064039408866995,0.9064039408866995,0.9064039408866995,0.09359605911330049,0.4483604360525728,0.812807881773399,0.8852465735827026,0.09645420155644521,0.7887923720262574,0.8837209302325582,0.8837209302325582,0,1,CORE
INST_032,1,218,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9367072216391416,0.0,0.9367072216391416,1.0,1.0,0,1,CORE
INST_033,1,179,1,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.15083798882681565,0.6119334051869456,0.6983240223463687,0.844375489831885,0.18568109789401416,0.6586943919378709,0.7209302325581395,0.7209302325581395,0,1,HALO
INST_034,2,197,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.059474739069404856,0.9405252609305952,1.0,1.0,0,1,CORE
INST_035,1,194,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9417077665867198,0.011392847036010869,0.930314919550709,1.0,1.0,0,1,CORE
INST_036,2,206,2,0.9951456310679612,0.9951456310679612,0.0048543689320388345,0.9951456310679612,0.04429945728702207,0.9902912621359223,1.0,0.06704536173225797,0.932954638267742,0.9814814814814815,0.9814814814814815,0,1,CORE
INST_037,2,192,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.08162501867595884,0.9183749813240412,1.0,1.0,0,1,CORE
INST_038,1,197,1,0.9949238578680203,0.9949238578680203,0.9949238578680203,0.005076142131979695,0.04599532480368182,0.9898477157360406,0.9334355297411373,0.005785488665923446,0.9276500410752139,0.9791666666666666,0.9791666666666666,0,1,CORE
INST_039,2,186,2,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.06836395367779526,0.9316360463222048,1.0,1.0,0,1,CORE
INST_040,1,199,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9340356893088346,0.0,0.9340356893088346,1.0,1.0,0,1,CORE
INST_041,2,211,2,0.995260663507109,0.995260663507109,0.004739336492890996,0.995260663507109,0.04341407633805842,0.990521327014218,1.0,0.06733030455556861,0.9326696954444313,0.9838709677419355,0.9838709677419355,0,1,CORE
INST_042,1,190,1,0.868421052631579,0.868421052631579,0.868421052631579,0.13157894736842105,0.5617526078313283,0.736842105263158,0.8578853809455813,0.13513790259146294,0.7227474783541183,0.7659574468085106,0.7659574468085106,0,1,HALO
INST_043,1,196,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9529762281105769,0.0,0.9529762281105769,1.0,1.0,0,1,CORE
INST_044,1,201,1,0.9104477611940298,0.9104477611940298,0.9104477611940298,0.08955223880597014,0.4349734800747427,0.8208955223880596,0.8927374516235692,0.09628211067599476,0.7964553409475744,0.8333333333333334,0.8333333333333334,0,1,CORE
INST_045,1,211,1,0.985781990521327,0.985781990521327,0.985781990521327,0.014218009478672985,0.10760938360997836,0.971563981042654,0.9325976811626737,0.029184071615624977,0.9034136095470487,0.9803921568627451,0.9803921568627451,0,1,CORE
INST_046,1,210,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9430088016489205,0.0,0.9430088016489205,1.0,1.0,0,1,CORE
INST_047,1,207,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9294676758322075,0.0,0.9294676758322075,1.0,1.0,0,1,CORE
INST_048,1,200,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.940747983700119,0.0,0.940747983700119,1.0,1.0,0,1,CORE
INST_049,1,195,1,1.0,1.0,1.0,0.0,-0.0,1.0,0.9391876803776081,0.0,0.9391876803776081,1.0,1.0,0,1,CORE
INST_050,1,207,1,0.966183574879227,0.966183574879227,0.966183574879227,0.033816425120772944,0.21318395069088003,0.932367149758454,0.9063020599781304,0.030627312426367626,0.8756747475517628,0.9090909090909091,0.9090909090909091,0,1,CORE
INST_051,2,195,2,0.9948717948717949,0.9948717948717949,0.005128205128205128,0.9948717948717949,0.04639138357369902,0.9897435897435898,1.0,0.08478627461392975,0.9152137253860703,0.9791666666666666,0.9791666666666666,0,1,CORE
INST_052,1,199,1,0.8190954773869347,0.8190954773869347,0.8190954773869347,0.18090452261306533,0.6820518105356644,0.6381909547738693,0.8298516025823751,0.2026078969190424,0.6272437056633327,0.6730769230769231,0.6730769230769231,0,1,HALO
