institution_id,reference_profile,family,n_oob_predictions,family_dominant_profile,family_dominant_probability,family_reference_profile_probability,profile_1_probability,profile_2_probability
INST_026,1,R1_PCA85_KMEANS,50,1,1.0,1.0,1.0,0.0
INST_027,2,R0_WARD,51,2,0.9803921568627451,0.9803921568627451,0.0196078431372549,0.9803921568627451
INST_027,2,R1_PCA85_WARD,42,2,1.0,1.0,0.0,1.0
INST_027,2,R0_KMEANS,58,2,1.0,1.0,0.0,1.0
INST_027,2,R1_PCA85_KMEANS,50,2,1.0,1.0,0.0,1.0
INST_028,1,R0_WARD,52,1,1.0,1.0,1.0,0.0
INST_028,1,R1_PCA85_WARD,41,1,1.0,1.0,1.0,0.0
INST_028,1,R0_KMEANS,51,1,1.0,1.0,1.0,0.0
INST_028,1,R1_PCA85_KMEANS,49,1,1.0,1.0,1.0,0.0
INST_029,1,R0_WARD,47,1,1.0,1.0,1.0,0.0
INST_029,1,R1_PCA85_WARD,41,1,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025
INST_029,1,R0_KMEANS,54,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.05555555555555555
INST_029,1,R1_PCA85_KMEANS,51,1,1.0,1.0,1.0,0.0
INST_030,1,R0_WARD,52,1,1.0,1.0,1.0,0.0
INST_030,1,R1_PCA85_WARD,40,1,1.0,1.0,1.0,0.0
INST_030,1,R0_KMEANS,48,1,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.10416666666666667
INST_030,1,R1_PCA85_KMEANS,54,1,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.037037037037037035
INST_031,1,R0_WARD,53,1,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.09433962264150944
INST_031,1,R1_PCA85_WARD,52,1,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.057692307692307696
INST_031,1,R0_KMEANS,43,1,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.11627906976744186
INST_031,1,R1_PCA85_KMEANS,55,1,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.10909090909090909
INST_032,1,R0_WARD,52,1,1.0,1.0,1.0,0.0
INST_032,1,R1_PCA85_WARD,56,1,1.0,1.0,1.0,0.0
INST_032,1,R0_KMEANS,62,1,1.0,1.0,1.0,0.0
INST_032,1,R1_PCA85_KMEANS,48,1,1.0,1.0,1.0,0.0
INST_033,1,R0_WARD,48,1,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.10416666666666667
INST_033,1,R1_PCA85_WARD,50,1,0.92,0.92,0.92,0.08
INST_033,1,R0_KMEANS,43,1,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.27906976744186046
INST_033,1,R1_PCA85_KMEANS,38,1,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.15789473684210525
INST_034,2,R0_WARD,49,2,1.0,1.0,0.0,1.0
INST_034,2,R1_PCA85_WARD,50,2,1.0,1.0,0.0,1.0
INST_034,2,R0_KMEANS,50,2,1.0,1.0,0.0,1.0
INST_034,2,R1_PCA85_KMEANS,48,2,1.0,1.0,0.0,1.0
INST_035,1,R0_WARD,51,1,1.0,1.0,1.0,0.0
INST_035,1,R1_PCA85_WARD,46,1,1.0,1.0,1.0,0.0
INST_035,1,R0_KMEANS,50,1,1.0,1.0,1.0,0.0
