institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_060,47,39,45,35,38,32,38,43,32,31,42,32,34,50,32,29,42,37,46,46,36,40,40,27,33,30,36,35,30,30,43,38,31,45,37,37,30,35,31,38,37,35,19,33,35,42,41,44,40,38,44,39,38,39,36,37,27,35,37,193,29,35,36,37,31,36,34,41,24,31,27,35,35,31,32,38,48,33,29,40,45
INST_061,36,35,38,37,37,30,35,44,42,37,41,29,24,37,30,36,23,27,39,39,35,26,29,44,22,37,36,27,29,34,33,39,30,32,39,31,35,37,31,29,36,36,30,33,40,35,34,38,34,40,30,35,31,29,32,39,40,36,27,29,179,22,30,35,28,32,38,30,39,37,34,33,34,32,34,36,30,26,33,26,41
INST_062,37,36,37,32,40,39,34,46,27,34,33,39,36,39,43,42,35,33,35,32,40,39,33,37,32,41,35,30,43,36,37,38,35,35,36,36,37,41,40,39,39,37,43,33,46,40,31,30,33,35,37,37,39,42,41,30,41,40,44,35,22,195,42,39,34,39,37,43,36,24,31,37,31,32,33,38,41,32,39,35,38
INST_063,30,34,41,34,38,35,35,46,39,46,37,30,22,45,36,36,43,38,44,28,37,36,32,33,34,39,39,41,39,38,43,41,38,36,39,38,38,38,33,44,44,32,34,42,43,39,40,42,40,32,44,35,46,31,32,32,48,34,33,36,30,42,200,43,34,36,36,31,31,31,35,38,35,34,44,52,48,37,45,29,37
INST_064,43,44,41,34,36,44,38,46,38,44,55,42,37,38,49,36,35,35,35,48,45,40,34,51,41,48,47,32,43,49,37,50,40,37,44,46,42,41,35,38,40,32,39,44,41,57,48,42,43,47,46,37,40,47,40,40,42,48,45,37,35,39,43,222,37,39,45,51,35,28,40,46,38,40,47,41,49,48,39,35,42
INST_065,29,32,37,31,27,30,34,39,25,33,38,32,30,36,29,29,34,31,31,34,30,35,32,30,35,25,37,27,36,28,39,36,24,44,33,33,30,32,28,35,44,33,32,27,37,32,36,28,31,31,40,35,26,29,33,41,31,47,33,31,28,34,34,37,175,33,37,36,31,27,34,41,34,30,31,34,38,26,28,31,34
INST_066,39,33,43,35,31,35,35,42,32,32,41,41,33,45,40,40,37,39,35,40,41,37,32,38,30,36,27,33,31,49,38,33,31,30,28,37,37,31,31,32,34,31,34,40,33,45,36,34,27,31,38,38,34,38,38,37,35,39,33,36,32,39,36,39,33,189,40,39,37,31,27,27,30,25,40,38,40,35,37,27,42
INST_067,40,42,48,30,36,40,39,45,41,34,40,41,31,41,32,33,38,31,39,39,34,36,42,36,40,41,49,48,34,33,40,45,41,39,31,43,43,34,39,37,36,43,45,36,38,36,43,41,34,39,33,38,33,30,44,40,39,43,43,34,38,37,36,45,37,40,206,48,39,41,41,36,33,37,33,43,36,43,29,43,42
INST_068,49,39,36,38,36,44,40,44,38,41,39,39,40,45,41,37,40,38,31,40,32,43,44,43,40,47,34,48,38,33,41,47,40,44,41,38,38,35,46,41,45,32,36,37,46,42,42,38,40,41,34,51,32,44,44,44,46,46,38,41,30,43,31,51,36,39,48,213,30,46,38,34,39,31,33,43,43,38,34,41,40
INST_069,25,43,32,31,31,32,36,40,34,31,41,28,30,31,37,30,41,25,31,29,33,34,31,31,28,25,42,38,35,31,36,37,30,33,25,40,30,34,28,29,39,37,34,33,41,36,27,35,36,27,30,40,25,29,37,34,30,37,28,24,39,36,31,35,31,37,39,30,175,29,34,29,28,30,31,38,45,31,26,27,32
