institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_028,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_029,0.029,0.973,0.873,0.973,0.986,0.972,0.67,0.933,0.832,0.972,0.972,0.972,0.972,0.972,0.838,0.972,0.967,0.838,0.64,0.937,0.972,0.029,0.449,0.972,0.804,0.972,0.029,0.972,1.0,0.97,0.838,0.972,0.816,0.029,0.972,0.029,0.029,0.955,0.034,0.972,0.029,0.838,0.972,0.838,0.981,0.956,0.971,0.972,0.972,0.94,0.029,0.838,0.972,0.029,0.972,0.973,0.972,0.972,0.972,0.963,0.972,0.929,0.838,0.58,0.029,0.579,0.98,0.973,0.972,0.972,0.03,0.972,0.821,0.029,0.972,0.972,0.836,0.972,0.972,0.977,0.973
INST_030,0.053,0.949,0.901,0.949,0.966,0.948,0.696,0.907,0.808,0.948,0.948,0.948,0.948,0.948,0.812,0.948,0.943,0.812,0.656,0.911,0.948,0.053,0.473,0.948,0.83,0.948,0.053,0.948,0.97,1.0,0.812,0.946,0.794,0.053,0.948,0.053,0.053,0.929,0.058,0.948,0.053,0.812,0.948,0.812,0.959,0.932,0.947,0.948,0.948,0.914,0.053,0.812,0.948,0.053,0.948,0.949,0.948,0.948,0.948,0.939,0.948,0.903,0.812,0.598,0.053,0.597,0.954,0.949,0.948,0.948,0.054,0.948,0.803,0.053,0.948,0.948,0.81,0.948,0.948,0.951,0.949
INST_031,0.135,0.863,0.713,0.863,0.834,0.864,0.68,0.905,0.992,0.864,0.864,0.864,0.864,0.864,1.0,0.864,0.869,1.0,0.74,0.901,0.864,0.135,0.513,0.864,0.642,0.864,0.135,0.864,0.838,0.812,1.0,0.866,0.932,0.135,0.864,0.135,0.135,0.883,0.14,0.864,0.135,0.998,0.864,1.0,0.853,0.88,0.865,0.864,0.864,0.898,0.135,1.0,0.864,0.135,0.864,0.863,0.864,0.864,0.864,0.873,0.864,0.909,1.0,0.68,0.135,0.681,0.858,0.863,0.864,0.864,0.136,0.864,0.911,0.135,0.864,0.864,0.996,0.864,0.864,0.859,0.863
INST_032,0.003,0.997,0.847,0.997,0.968,0.998,0.644,0.961,0.86,0.998,0.998,0.998,0.998,0.998,0.866,0.998,0.993,0.866,0.614,0.965,0.998,0.003,0.423,0.998,0.776,0.998,0.003,0.998,0.972,0.946,0.866,1.0,0.814,0.003,0.998,0.003,0.003,0.981,0.008,0.998,0.003,0.866,0.998,0.866,0.987,0.982,0.997,0.998,0.998,0.966,0.003,0.866,0.998,0.003,0.998,0.997,0.998,0.998,0.998,0.989,0.998,0.955,0.866,0.554,0.003,0.553,0.992,0.997,0.998,0.998,0.004,0.998,0.805,0.003,0.998,0.998,0.864,0.998,0.998,0.991,0.997
INST_033,0.187,0.815,0.729,0.813,0.82,0.814,0.74,0.849,0.94,0.814,0.814,0.814,0.814,0.814,0.932,0.814,0.817,0.932,0.784,0.845,0.814,0.187,0.571,0.814,0.674,0.814,0.187,0.814,0.816,0.794,0.932,0.814,1.0,0.187,0.814,0.187,0.187,0.829,0.192,0.814,0.187,0.934,0.814,0.932,0.813,0.828,0.815,0.814,0.814,0.844,0.187,0.932,0.814,0.187,0.814,0.813,0.814,0.814,0.814,0.821,0.814,0.857,0.932,0.734,0.187,0.735,0.816,0.813,0.814,0.814,0.188,0.814,0.943,0.187,0.814,0.814,0.932,0.814,0.814,0.819,0.813
INST_034,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
INST_035,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_036,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
INST_037,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
