institution_id,family,n_oob_predictions,profile_1_probability,profile_2_probability
INST_066,R1_PCA85_WARD,43,0.7906976744186046,0.20930232558139536
INST_067,R1_PCA85_WARD,52,0.9807692307692307,0.019230769230769232
INST_068,R1_PCA85_WARD,50,1.0,0.0
INST_069,R1_PCA85_WARD,45,1.0,0.0
INST_070,R1_PCA85_WARD,42,1.0,0.0
INST_071,R1_PCA85_WARD,44,0.0,1.0
INST_072,R1_PCA85_WARD,54,1.0,0.0
INST_073,R1_PCA85_WARD,50,0.84,0.16
INST_074,R1_PCA85_WARD,49,0.0,1.0
INST_075,R1_PCA85_WARD,49,1.0,0.0
INST_076,R1_PCA85_WARD,50,1.0,0.0
INST_077,R1_PCA85_WARD,56,0.9107142857142857,0.08928571428571429
INST_078,R1_PCA85_WARD,34,1.0,0.0
INST_079,R1_PCA85_WARD,43,1.0,0.0
INST_080,R1_PCA85_WARD,35,1.0,0.0
INST_081,R1_PCA85_WARD,55,1.0,0.0
INST_001,R0_KMEANS,50,0.0,1.0
INST_002,R0_KMEANS,65,1.0,0.0
INST_003,R0_KMEANS,52,0.7115384615384616,0.28846153846153844
INST_004,R0_KMEANS,57,1.0,0.0
INST_005,R0_KMEANS,46,1.0,0.0
INST_006,R0_KMEANS,42,1.0,0.0
INST_007,R0_KMEANS,44,0.38636363636363635,0.6136363636363636
INST_008,R0_KMEANS,50,1.0,0.0
INST_009,R0_KMEANS,46,0.7608695652173914,0.2391304347826087
INST_010,R0_KMEANS,49,1.0,0.0
INST_011,R0_KMEANS,64,1.0,0.0
INST_012,R0_KMEANS,60,1.0,0.0
INST_013,R0_KMEANS,53,1.0,0.0
INST_014,R0_KMEANS,53,1.0,0.0
INST_015,R0_KMEANS,50,0.9,0.1
INST_016,R0_KMEANS,44,1.0,0.0
INST_017,R0_KMEANS,48,1.0,0.0
INST_018,R0_KMEANS,49,0.7959183673469388,0.20408163265306123
INST_019,R0_KMEANS,52,0.5769230769230769,0.4230769230769231
INST_020,R0_KMEANS,51,0.9411764705882353,0.058823529411764705
INST_021,R0_KMEANS,45,1.0,0.0
INST_022,R0_KMEANS,59,0.0,1.0
INST_023,R0_KMEANS,45,0.2,0.8
INST_024,R0_KMEANS,49,1.0,0.0
INST_025,R0_KMEANS,43,0.7209302325581395,0.27906976744186046
INST_026,R0_KMEANS,46,1.0,0.0
INST_027,R0_KMEANS,58,0.0,1.0
INST_028,R0_KMEANS,51,1.0,0.0
INST_029,R0_KMEANS,54,0.9444444444444444,0.05555555555555555
INST_030,R0_KMEANS,48,0.8958333333333334,0.10416666666666667
INST_031,R0_KMEANS,43,0.8837209302325582,0.11627906976744186
INST_032,R0_KMEANS,62,1.0,0.0
INST_033,R0_KMEANS,43,0.7209302325581395,0.27906976744186046
INST_034,R0_KMEANS,50,0.0,1.0
INST_035,R0_KMEANS,50,1.0,0.0
INST_036,R0_KMEANS,48,0.0,1.0
INST_037,R0_KMEANS,45,0.0,1.0
INST_038,R0_KMEANS,55,1.0,0.0
INST_039,R0_KMEANS,54,0.0,1.0
INST_040,R0_KMEANS,51,1.0,0.0
INST_041,R0_KMEANS,45,0.0,1.0
INST_042,R0_KMEANS,47,0.7659574468085106,0.23404255319148937
INST_043,R0_KMEANS,49,1.0,0.0
INST_044,R0_KMEANS,54,0.8333333333333334,0.16666666666666666
INST_045,R0_KMEANS,56,0.9821428571428571,0.017857142857142856
INST_046,R0_KMEANS,48,1.0,0.0
INST_047,R0_KMEANS,54,1.0,0.0
INST_048,R0_KMEANS,45,1.0,0.0
INST_049,R0_KMEANS,48,1.0,0.0
INST_050,R0_KMEANS,51,1.0,0.0
INST_051,R0_KMEANS,51,0.0,1.0
INST_052,R0_KMEANS,42,0.7857142857142857,0.21428571428571427
INST_053,R0_KMEANS,52,1.0,0.0
INST_054,R0_KMEANS,46,0.0,1.0
INST_055,R0_KMEANS,53,1.0,0.0
INST_056,R0_KMEANS,49,1.0,0.0
INST_057,R0_KMEANS,54,1.0,0.0
INST_058,R0_KMEANS,47,1.0,0.0
INST_059,R0_KMEANS,46,1.0,0.0
INST_060,R0_KMEANS,44,1.0,0.0
INST_061,R0_KMEANS,36,1.0,0.0
INST_062,R0_KMEANS,59,1.0,0.0
INST_063,R0_KMEANS,40,0.85,0.15
INST_064,R0_KMEANS,59,0.3389830508474576,0.6610169491525424
INST_065,R0_KMEANS,33,0.0,1.0
INST_066,R0_KMEANS,42,0.42857142857142855,0.5714285714285714
INST_067,R0_KMEANS,52,1.0,0.0
INST_068,R0_KMEANS,51,1.0,0.0
INST_069,R0_KMEANS,33,1.0,0.0
