candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,total_cost,ensemble_support,baseline_target_support_inductive,baseline_source_support_inductive,ensemble_support_gain,desired_flip_members,retained_target_members,reverse_loss_members,remained_source_members,conditional_flip_rate_among_baseline_source,target_retention_rate_among_baseline_target,reverse_loss_rate_among_baseline_target,net_member_gain_count,baseline_target_support_R0_KMEANS,cf_target_support_R0_KMEANS,support_gain_R0_KMEANS,conditional_flip_rate_R0_KMEANS,baseline_target_support_R0_WARD,cf_target_support_R0_WARD,support_gain_R0_WARD,conditional_flip_rate_R0_WARD,baseline_target_support_R1_PCA85_KMEANS,cf_target_support_R1_PCA85_KMEANS,support_gain_R1_PCA85_KMEANS,conditional_flip_rate_R1_PCA85_KMEANS,baseline_target_support_R1_PCA85_WARD,cf_target_support_R1_PCA85_WARD,support_gain_R1_PCA85_WARD,conditional_flip_rate_R1_PCA85_WARD
INST_022__CF02,INST_022,2,1,CORE,2,6.99998550003725,0.4776422764227642,0.0010162601626016261,0.9989837398373984,0.4766260162601626,470,0,1,513,0.47812817904374366,0.0,1.0,469,0.0,0.348,0.348,0.348,0.004098360655737705,0.6024590163934426,0.5983606557377049,0.6049382716049383,0.0,0.36,0.36,0.36,0.0,0.6083333333333333,0.6083333333333333,0.6083333333333333
INST_023__CF01,INST_023,1,2,BOUNDARY,1,1.499998000004,0.9522357723577236,0.7378048780487805,0.2621951219512195,0.21443089430894313,211,726,0,47,0.8178294573643411,1.0,0.0,211,0.852,0.956,0.10399999999999998,0.7027027027027027,0.569672131147541,0.9139344262295082,0.34426229508196715,0.8,0.908,0.992,0.08399999999999996,0.9130434782608695,0.6125,0.9458333333333333,0.33333333333333326,0.8602150537634409
INST_023__CF02,INST_023,1,2,BOUNDARY,2,1.999997000006,0.9969512195121952,0.7378048780487805,0.2621951219512195,0.25914634146341464,255,726,0,3,0.9883720930232558,1.0,0.0,255,0.852,1.0,0.14800000000000002,1.0,0.569672131147541,0.9959016393442623,0.42622950819672134,0.9904761904761905,0.908,1.0,0.09199999999999997,1.0,0.6125,0.9916666666666667,0.37916666666666665,0.978494623655914
INST_023__CF03,INST_023,1,2,BOUNDARY,3,2.249997000006,0.9969512195121952,0.7378048780487805,0.2621951219512195,0.25914634146341464,255,726,0,3,0.9883720930232558,1.0,0.0,255,0.852,1.0,0.14800000000000002,1.0,0.569672131147541,0.9959016393442623,0.42622950819672134,0.9904761904761905,0.908,1.0,0.09199999999999997,1.0,0.6125,0.9916666666666667,0.37916666666666665,0.978494623655914
INST_023__CF04,INST_023,1,2,BOUNDARY,4,2.999996000008,0.9989837398373984,0.7378048780487805,0.2621951219512195,0.26117886178861793,257,726,0,1,0.9961240310077519,1.0,0.0,257,0.852,1.0,0.14800000000000002,1.0,0.569672131147541,0.9959016393442623,0.42622950819672134,0.9904761904761905,0.908,1.0,0.09199999999999997,1.0,0.6125,1.0,0.38749999999999996,1.0
INST_025__CF01,INST_025,1,2,BOUNDARY,1,4.499993000013999,0.9979674796747968,0.25914634146341464,0.7408536585365854,0.7388211382113821,727,255,0,2,0.9972565157750343,1.0,0.0,727,0.368,1.0,0.632,1.0,0.10655737704918032,0.9959016393442623,0.889344262295082,0.9954128440366973,0.428,1.0,0.5720000000000001,1.0,0.125,0.9958333333333333,0.8708333333333333,0.9952380952380953
INST_027__CF01,INST_027,2,1,CORE,1,6.999984000043501,0.3485772357723577,0.0010162601626016261,0.9989837398373984,0.3475609756097561,342,1,0,641,0.34791454730417093,1.0,0.0,342,0.0,0.236,0.236,0.236,0.004098360655737705,0.4959016393442623,0.4918032786885246,0.49382716049382713,0.0,0.188,0.188,0.188,0.0,0.48333333333333334,0.48333333333333334,0.48333333333333334
INST_027__CF02,INST_027,2,1,CORE,2,6.999985250037376,0.2794715447154471,0.0010162601626016261,0.9989837398373984,0.2784552845528455,274,1,0,709,0.2787385554425229,1.0,0.0,274,0.0,0.168,0.168,0.168,0.004098360655737705,0.3975409836065574,0.39344262295081966,0.3950617283950617,0.0,0.136,0.136,0.136,0.0,0.425,0.425,0.425
INST_027__CF03,INST_027,2,1,CORE,3,7.499983250045126,0.3607723577235772,0.0010162601626016261,0.9989837398373984,0.3597560975609756,354,1,0,629,0.36012207527975587,1.0,0.0,354,0.0,0.252,0.252,0.252,0.004098360655737705,0.5,0.4959016393442623,0.49794238683127573,0.0,0.196,0.196,0.196,0.0,0.5041666666666667,0.5041666666666667,0.5041666666666667
INST_027__CF04,INST_027,2,1,CORE,4,7.499984000041,0.3089430894308943,0.0010162601626016261,0.9989837398373984,0.3079268292682927,303,1,0,680,0.3082400813835198,1.0,0.0,303,0.0,0.188,0.188,0.188,0.004098360655737705,0.4672131147540984,0.46311475409836067,0.46502057613168724,0.0,0.128,0.128,0.128,0.0,0.4625,0.4625,0.4625
INST_030__CF01,INST_030,1,2,CORE,1,6.999988000024,0.9796747967479674,0.049796747967479675,0.9502032520325203,0.9298780487804877,915,49,0,20,0.9786096256684492,1.0,0.0,915,0.088,0.972,0.884,0.9692982456140351,0.0,0.9631147540983607,0.9631147540983607,0.9631147540983607,0.096,1.0,0.904,1.0,0.0125,0.9833333333333333,0.9708333333333333,0.9831223628691983
INST_030__CF02,INST_030,1,2,CORE,2,7.166654777800963,0.991869918699187,0.049796747967479675,0.9502032520325203,0.9420731707317073,927,49,0,8,0.9914438502673797,1.0,0.0,927,0.088,0.988,0.9,0.9868421052631579,0.0,0.9918032786885246,0.9918032786885246,0.9918032786885246,0.096,0.996,0.9,0.995575221238938,0.0125,0.9916666666666667,0.9791666666666667,0.9915611814345991
INST_033__CF01,INST_033,1,2,HALO,1,4.4999910000242505,0.988821138211382,0.18089430894308944,0.8191056910569106,0.8079268292682926,795,178,0,11,0.9863523573200993,1.0,0.0,795,0.316,0.996,0.6799999999999999,0.9941520467836257,0.0778688524590164,0.9836065573770492,0.9057377049180327,0.9822222222222222,0.248,0.992,0.744,0.9893617021276596,0.075,0.9833333333333333,0.9083333333333333,0.9819819819819819
INST_033__CF02,INST_033,1,2,HALO,2,4.749989500028501,0.9989837398373984,0.18089430894308944,0.8191056910569106,0.818089430894309,805,178,0,1,0.9987593052109182,1.0,0.0,805,0.316,1.0,0.6839999999999999,1.0,0.0778688524590164,0.9959016393442623,0.9180327868852459,0.9955555555555555,0.248,1.0,0.752,1.0,0.075,1.0,0.925,1.0
INST_033__CF03,INST_033,1,2,HALO,3,4.999989750027375,0.9989837398373984,0.18089430894308944,0.8191056910569106,0.818089430894309,805,178,0,1,0.9987593052109182,1.0,0.0,805,0.316,1.0,0.6839999999999999,1.0,0.0778688524590164,0.9959016393442623,0.9180327868852459,0.9955555555555555,0.248,1.0,0.752,1.0,0.075,1.0,0.925,1.0
INST_034__CF01,INST_034,2,1,CORE,1,5.499989750024626,0.4573170731707317,0.0010162601626016261,0.9989837398373984,0.4563008130081301,449,1,0,534,0.45676500508647,1.0,0.0,449,0.0,0.296,0.296,0.296,0.004098360655737705,0.6229508196721312,0.6188524590163935,0.6213991769547325,0.0,0.296,0.296,0.296,0.0,0.625,0.625,0.625
INST_034__CF02,INST_034,2,1,CORE,2,5.499990250021376,0.3363821138211382,0.0010162601626016261,0.9989837398373984,0.33536585365853655,330,1,0,653,0.335707019328586,1.0,0.0,330,0.0,0.208,0.208,0.208,0.004098360655737705,0.5163934426229508,0.5122950819672132,0.51440329218107,0.0,0.168,0.168,0.168,0.0,0.4625,0.4625,0.4625
INST_034__CF03,INST_034,2,1,CORE,3,5.499990500020501,0.3902439024390244,0.0010162601626016261,0.9989837398373984,0.38922764227642276,383,1,0,600,0.3896236012207528,1.0,0.0,383,0.0,0.268,0.268,0.268,0.004098360655737705,0.5245901639344263,0.5204918032786886,0.522633744855967,0.0,0.256,0.256,0.256,0.0,0.5208333333333334,0.5208333333333334,0.5208333333333334
INST_034__CF04,INST_034,2,1,CORE,4,5.749987250033375,0.4024390243902439,0.0010162601626016261,0.9989837398373984,0.4014227642276423,395,1,0,588,0.40183112919633773,1.0,0.0,395,0.0,0.26,0.26,0.26,0.004098360655737705,0.5737704918032787,0.569672131147541,0.5720164609053497,0.0,0.252,0.252,0.252,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333
INST_034__CF05,INST_034,2,1,CORE,5,5.999987250033375,0.3861788617886179,0.0010162601626016261,0.9989837398373984,0.38516260162601623,379,1,0,604,0.38555442522889116,1.0,0.0,379,0.0,0.236,0.236,0.236,0.004098360655737705,0.5778688524590164,0.5737704918032788,0.5761316872427984,0.0,0.228,0.228,0.228,0.0,0.5125,0.5125,0.5125
